Li2O,SiO2,Al2O3,ZnO,MgO,Na2O,K2O,TiO2,ZrO2,P2O5,As2O3,B2O3,BaO,CaO,SrO,SnO2,Fe2O3,MnO2,CoO,CeO2,V2O5,Sb2O3,Nd2O3,Cr2O3,MoO3,F,La2O3,Ta2O5,Cl,LD,β-spodumene,β-quartz s.s,LM,Keatite,Petalite,LiAlSi3O8,LiAlSi2O6,KMK,Cristobalite,Li4SiO4,Mullite,Tridymite
1.81101775720113,60.0876054297388,26.4847060419143,0.352438463342255,0.11631289541532,0.715528070834403,0.0,1.26779035679454,0.0,2.45798298390828,0.0,0.0,3.76181302122518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94480497962578,0.0,0.0,0.0,0.0,0.0,0.0,0.0014430880324481,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.23132989441852,64.0918340531605,23.3059552343157,1.24568905647673,0.0,0.0,0.0,4.15761785935264,0.0,0.0,0.0,0.0,0.967573902275908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.70465598898088,59.5870267003132,24.2032159306779,0.957853133731768,0.503806411500252,0.0,1.2607052795588,0.0,0.0,4.59269071686939,0.98931077370928,1.94548254270706,2.2552525219515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.71037140846022,59.590450523644,24.2405558435346,2.51824355354925,0.504583667198667,0.0,0.568886377969135,0.0,0.0,4.18161469695979,0.990837049315973,1.4357250291788,2.25873185018957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.70697930402486,59.5359716024597,24.218394585822,1.67729421268819,0.504122365537165,0.0,0.568366289332854,0.0,0.0,4.5955709485202,0.98993120394911,1.94670262059627,2.25666686706959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.69639275619229,59.3659462639194,24.1492306731903,2.15036244660638,0.50268267162508,0.0,1.39612330771449,0.0,0.0,4.58244672319429,0.987104116668047,0.919488858230456,2.25022218265917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.71912052447903,59.7309657734262,24.2977154677577,1.92318599065299,0.505773483677807,0.0,0.0,0.0,0.0,4.19147501230349,0.993173459164441,2.37453231197574,2.26405797656269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.01445903268154,62.6310647381693,27.0822946157119,1.50861231923626,1.05798899940379,0.191426052824836,0.436396139780351,2.46671579116576,0.0,0.0,0.611042311026262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.77793272752793,58.0040389757113,25.6313353539209,1.45313233477763,1.01908091646168,0.184386262482228,0.42034745003806,2.37600106478263,0.0,6.54517399468649,0.588570919611092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.02608480971905,56.6265422391139,26.9510389434651,0.0,0.0,0.547616274525635,1.24840702066066,2.41099898060985,0.0,5.43449734280641,0.728341982460641,0.0,1.2419364693648,0.784535937274022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
